horizon_hours,risk_band,n,share_of_hours,minimum_probability,maximum_probability,mean_probability,empirical_event_rate,baseline_event_rate,event_rate_lift
1,LOW,6142,0.49995929995929994,0.002857778601450047,0.006283276379290116,0.004867647931389705,0.0016281341582546401,0.006430606430606431,0.25318516625516774
1,TYPICAL,3686,0.30004070004070005,0.006283402408639708,0.009664526644468704,0.007631285643196419,0.002984264785675529,0.006430606430606431,0.4640720619243528
1,ELEVATED,1842,0.14993894993894993,0.009668965878255966,0.01896053056092704,0.012687590492912036,0.013029315960912053,0.006430606430606431,2.026141095946893
1,HIGH,615,0.050061050061050064,0.018979371417195273,0.9614085391744,0.04316515452825101,0.055284552845528454,0.006430606430606431,8.597097869712874
6,LOW,6142,0.49995929995929994,0.031456070946888424,0.08946789078082328,0.06511263740351855,0.042005861282969716,0.1037037037037037,0.40505651951435084
6,TYPICAL,3686,0.30004070004070005,0.08946814500492366,0.14996978914965806,0.11371883261729752,0.0935973955507325,0.1037037037037037,0.9025463142392063
6,ELEVATED,1842,0.14993894993894993,0.15002337781772124,0.3008637968612528,0.20272406910142723,0.21389793702497287,0.1037037037037037,2.062587249883667
6,HIGH,615,0.050061050061050064,0.3008892399145224,0.9989930434406856,0.45612262509901713,0.4504065040650406,0.1037037037037037,4.343205574912892
24,LOW,6142,0.49995929995929994,0.1919778781512651,0.4691639801561037,0.3729780603970475,0.3145555193747965,0.44078144078144077,0.7136314968641505
24,TYPICAL,3686,0.30004070004070005,0.4691818596783752,0.6161422482737465,0.5341086259275348,0.45822029300054257,0.44078144078144077,1.0395634902145274
24,ELEVATED,1842,0.14993894993894993,0.6161882354103796,0.7849147537847653,0.6873801513503298,0.6758957654723127,0.44078144078144077,1.5334034125258285
24,HIGH,615,0.050061050061050064,0.7849728996835029,0.998124147026579,0.8661011617982836,0.8926829268292683,0.44078144078144077,2.025228025133437
